year,country_code,pop_ages,gender,number
1960,EST,0-14,female,136528.0
1960,EST,0-14,male,143748.0
1960,EST,15-64,female,450243.0
1960,EST,15-64,male,351270.0
1960,EST,65+,female,90539.0
1960,EST,65+,male,39209.0
1960,SWZ,0-14,female,80908.0
1960,SWZ,0-14,male,81035.0
1960,SWZ,15-64,female,91348.0
1960,SWZ,15-64,male,82022.0
1960,SWZ,65+,female,5774.0
1960,SWZ,65+,male,4251.0
1960,ETH,0-14,female,4520555.0
1960,ETH,0-14,male,4508111.0
1960,ETH,15-64,female,5990005.0
1960,ETH,15-64,male,5754946.0
1960,ETH,65+,female,374810.0
1960,ETH,65+,male,228268.0
1960,FRO,0-14,female,5488.0
1960,FRO,0-14,male,5724.0
1960,FRO,15-64,female,9488.0
1960,FRO,15-64,male,10718.0
1960,FRO,65+,female,1439.0
1960,FRO,65+,male,1269.0
1960,FJI,0-14,female,92537.0
1960,FJI,0-14,male,95460.0
1960,FJI,15-64,female,97763.0
1960,FJI,15-64,male,105367.0
1960,FJI,65+,female,5194.0
1960,FJI,65+,male,8565.0
1960,FIN,0-14,female,659853.0
1960,FIN,0-14,male,686967.0
1960,FIN,15-64,female,1433395.0
1960,FIN,15-64,male,1325928.0
1960,FIN,65+,female,202909.0
1960,FIN,65+,male,120582.0
1960,FRA,0-14,female,6164599.0
1960,FRA,0-14,male,6401728.0
1960,FRA,15-64,female,14786372.0
1960,FRA,15-64,male,14601845.0
1960,FRA,65+,female,3437837.0
1960,FRA,65+,male,2020583.0
1960,PYF,0-14,female,18157.0
1960,PYF,0-14,male,18671.0
1960,PYF,15-64,female,21589.0
1960,PYF,15-64,male,23088.0
1960,PYF,65+,female,967.0
1960,PYF,65+,male,1198.0
1960,GAB,0-14,female,81133.0
1960,GAB,0-14,male,79693.0
1960,GAB,15-64,female,160315.0
1960,GAB,15-64,male,151209.0
1960,GAB,65+,female,22747.0
1960,GAB,65+,male,17218.0
1960,GMB,0-14,female,81496.0
1960,GMB,0-14,male,81707.0
1960,GMB,15-64,female,113860.0
1960,GMB,15-64,male,110313.0
1960,GMB,65+,female,5847.0
1960,GMB,65+,male,4837.0
1960,GEO,0-14,female,514081.0
1960,GEO,0-14,male,532627.0
1960,GEO,15-64,female,1248514.0
1960,GEO,15-64,male,1078303.0
1960,GEO,65+,female,161655.0
1960,GEO,65+,male,110420.0
1960,DEU,0-14,female,7558223.0
1960,DEU,0-14,male,7939811.0
1960,DEU,15-64,female,26386725.0
1960,DEU,15-64,male,22574279.0
1960,DEU,65+,female,5001216.0
1960,DEU,65+,male,3354646.0
1960,GHA,0-14,female,1554468.0
1960,GHA,0-14,male,1605735.0
1960,GHA,15-64,female,1752020.0
1960,GHA,15-64,male,1845103.0
1960,GHA,65+,female,96494.0
1960,GHA,65+,male,107395.0
1960,GIB,0-14,female,2750.0
1960,GIB,0-14,male,2903.0
1960,GIB,15-64,female,7472.0
1960,GIB,15-64,male,6886.0
1960,GIB,65+,female,1191.0
1960,GIB,65+,male,636.0
1960,GRC,0-14,female,1075781.0
1960,GRC,0-14,male,1145945.0
1960,GRC,15-64,female,2816523.0
1960,GRC,15-64,male,2693106.0
1960,GRC,65+,female,351695.0
1960,GRC,65+,male,248677.0
1960,GRL,0-14,female,6944.0
1960,GRL,0-14,male,7321.0
1960,GRL,15-64,female,8542.0
1960,GRL,15-64,male,9034.0
1960,GRL,65+,female,389.0
1960,GRL,65+,male,270.0
1960,GRD,0-14,female,22049.0
1960,GRD,0-14,male,22450.0
1960,GRD,15-64,female,24679.0
1960,GRD,15-64,male,21221.0
1960,GRD,65+,female,2392.0
1960,GRD,65+,male,1267.0
