year,country_code,employers,vulnerable_emp,child_emp,part_time,labor_force_fem,labor_force_total,unemp
1987,USA,,,,,,,6.2
1987,VEN,,,,,,,9.1
1987,ZWE,,,,,,,7.18
1988,ALB,,,,,,,7.0
1988,ARG,,,,,,,6.0
1988,AUS,,,,,,,7.226
1988,AUT,,,,,,,3.55
1988,BEL,,,,17.53,,,10.128
1988,BOL,,,,,,,18.0
1988,BRA,,,,,,,3.79
1988,CAN,,,,35.09,,,7.762
1988,CHE,,,,,,,0.7
1988,CHL,,,,,,,6.23
1988,CHN,,,,,,,2.0
1988,CYP,,,,,,,2.8
1988,DEU,,,,17.92,,,6.319
1988,DNK,,,,43.95,,,6.486
1988,ECU,,,,,,,6.99
1988,ESP,,,,26.13,,,19.854
1988,FIN,,,,,,,4.47
1988,FRA,,,,23.26,,,10.18
1988,GBR,,,,37.74,,,9.004
1988,GRC,,,,23.79,,,7.828
1988,IDN,,,,,,,2.74
1988,IRL,,,,17.6,,,17.431
1988,ITA,,,,15.97,,,10.973
1988,JAM,,,,,,,23.03
1988,JPN,,,,,,,2.5
1988,KOR,,,,,,,2.519
1988,LUX,,,,12.62,,,1.998
1988,MAR,,,,,,,13.9
1988,MEX,,,,,,,1.76
1988,MHL,,,,,,,12.47
1988,MKD,,,,,,,21.4
1988,MLT,,,,,,,4.0
1988,MRT,,,,,,,25.8
1988,MYS,,,,,,,7.26
1988,NIC,,,,,,,6.0
1988,NLD,,,,47.12,,,9.369
1988,NOR,,,,,,,3.02
1988,PAK,,,,,,,2.16
1988,PAN,,,,,,,16.33
1988,PHL,,,,,,,8.34
1988,PRT,,,,16.9,,,6.008
1988,PRY,,,,,,,4.72
1988,SLV,,,,,,,9.37
1988,THA,,,,,,,3.04
1988,TTO,,,,,,,21.88
1988,TUR,,,,,,,8.04
1988,USA,,,,,,,5.5
1988,VEN,,,,,,,7.28
1989,ALB,,,,,,,7.3
1989,ARG,,,,,,,7.3
1989,AUS,,,,,,,6.175
1989,AUT,,,,,,,3.14
1989,BEL,,,,17.64,,,8.284
1989,BGD,,,,,,,0.92
1989,BOL,,,,,,,10.1
1989,BRA,,,,,,,4.145
1989,CAN,,,,31.45,,,7.547
1989,CHE,,,,,,,0.6
1989,CHL,,,,,,,5.29
1989,CHN,,,,,,,2.6
1989,CYP,,,,,,,2.3
1989,DEU,,,,18.8,,,5.705
1989,DNK,,,,45.13,,,8.149
1989,DZA,,,,,,,17.64
1989,ECU,,,,,,,7.71
1989,EGY,,,,,,,7.06
1989,ESP,,,,27.57,,,17.331
1989,EST,,,,,,,0.56
1989,FIN,,,,,,,3.14
1989,FRA,,,,22.82,,,9.618
1989,GBR,,,,39.14,,,7.405
1989,GRC,,,,19.37,,,7.505
1989,GTM,,,,,,,1.94
1989,IRL,,,,16.7,,,16.092
1989,ITA,,,,16.83,,,10.99
1989,JPN,,,,,,,2.3
1989,KOR,,,,,,,2.569
1989,LUX,,,,14.41,,,1.588
1989,MAR,,,,,,,16.3
1989,MKD,,,,,,,22.6
1989,MLT,,,,,,,3.7
1989,MYS,,,,,,,5.73
1989,NIC,,,,,,,8.66
1989,NLD,,,,47.95,,,8.704
1989,NOR,,,,,,,4.83
1989,PAK,,,,,,,2.03
1989,PAN,,,,,,,16.31
1989,PER,,,,,,,7.92
1989,PHL,,,,,,,8.42
1989,PRT,,,,17.52,,,5.13
1989,PRY,,,,,,,5.62
1989,RWA,,,,,,,0.8
1989,SLV,,,,,,,8.35
1989,SUR,,,,,,,15.51
1989,SWE,,,,,,,1.46
1989,SYR,,,,,,,5.78
1989,THA,,,,,,,1.39
1989,TTO,,,,,,,21.95
