year,country_code,tax_revenue,inflation,gdp
1997,JAM,19.914094207737755,9.608699200207596,8400041723.548614
1997,JOR,19.055729663441888,1.245559499888344,7245839210.1551485
1997,JPN,,0.5044608142738269,4492448605638.937
1997,KAZ,6.787220586762192,16.135729979604235,22165932062.96603
1997,KEN,,11.435216331829425,13115764358.284555
1997,KGZ,,19.30954841211934,1767864035.7194295
1997,KIR,,2.6127976060733857,80205788.22859177
1997,KOR,12.9018021711367,4.003285762645433,569755022973.0349
1997,LAO,,19.3528167277303,1747011857.3310688
1997,LBN,11.932725773195877,11.546767211743171,15751867489.444624
1997,LBR,,-10.008826322699022,295900000.0
1997,LCA,,2.8737017854908515,805925925.9259259
1997,LKA,16.007692031199454,8.92446881960332,15091913883.709105
1997,LSO,29.212474890816903,9.018940913850583,998004258.7156752
1997,LTU,21.540418319511392,11.37248797094199,10168271903.32326
1997,LUX,25.24415232739704,2.619543683251365,19563836265.223274
1997,LVA,16.0773374239137,5.789370288201766,6349481006.532784
1997,MAR,19.405487463984315,0.7133916425043907,39147844526.08376
1997,MDA,18.283106098200346,12.50293981705424,1930081168.831169
1997,MDG,,4.4919734241551765,4262965419.74998
1997,MDV,14.445504438987664,4.10041409895274,508223602.3789295
1997,MEX,8.592240646708552,17.73369115346803,523449530464.25696
1997,MHL,,5.951307515820531,109884700.0
1997,MKD,,3.929288828131149,3912986090.973632
1997,MLI,,5.580197829968043,2697105823.466098
1997,MLT,20.05066376879699,0.7867220131850132,3787069759.0364966
1997,MMR,4.415239180747989,33.79422445840174,4722288495.660847
1997,MNE,,,838289118.844405
1997,MNG,10.572433151475948,21.67213423379233,1180934202.8380103
1997,MOZ,,10.54504865514589,4873663774.930193
1997,MRT,,12.077063385097048,2071996564.0529585
1997,MUS,15.78100714888509,5.120769241284279,4243755307.5523887
1997,MWI,,20.834849667314643,3875785863.383234
1997,MYS,19.75336680920527,3.4823495826593387,100005323301.8667
1997,NAM,26.66870600962733,7.113170828007313,4154989950.003928
