year,country_code,pop_ages,gender,number
1960,MOZ,15-64,male,1793916.0
1960,MOZ,65+,female,125349.0
1960,MOZ,65+,male,80867.0
1960,MMR,0-14,female,4288156.0
1960,MMR,0-14,male,4381150.0
1960,MMR,15-64,female,6145077.0
1960,MMR,15-64,male,6156206.0
1960,MMR,65+,female,424636.0
1960,MMR,65+,male,335026.0
1960,NAM,0-14,female,126462.0
1960,NAM,0-14,male,123330.0
1960,NAM,15-64,female,165474.0
1960,NAM,15-64,male,150183.0
1960,NAM,65+,female,14790.0
1960,NAM,65+,male,11226.0
1960,NRU,0-14,female,774.0
1960,NRU,0-14,male,830.0
1960,NRU,15-64,female,814.0
1960,NRU,15-64,male,2010.0
1960,NRU,65+,female,96.0
1960,NRU,65+,male,83.0
1960,NPL,0-14,female,2015690.0
1960,NPL,0-14,male,2102804.0
1960,NPL,15-64,female,2872287.0
1960,NPL,15-64,male,2831337.0
1960,NPL,65+,female,165982.0
1960,NPL,65+,male,135559.0
1960,NLD,0-14,female,1678556.0
1960,NLD,0-14,male,1765174.0
1960,NLD,15-64,female,3537562.0
1960,NLD,15-64,male,3471511.0
1960,NLD,65+,female,550297.0
1960,NLD,65+,male,483531.0
1960,NIC,0-14,female,420319.0
1960,NIC,0-14,male,427920.0
1960,NIC,15-64,female,449535.0
1960,NIC,15-64,male,438188.0
1960,NIC,65+,female,25681.0
1960,NIC,65+,male,20727.0
1960,NER,0-14,female,856932.0
1960,NER,0-14,male,859486.0
1960,NER,15-64,female,957011.0
1960,NER,15-64,male,792411.0
1960,NER,65+,female,24407.0
1960,NER,65+,male,14803.0
1960,NGA,0-14,female,9334035.0
1960,NGA,0-14,male,9198558.0
1960,NGA,15-64,female,12554225.0
1960,NGA,15-64,male,12466941.0
1960,NGA,65+,female,851733.0
1960,NGA,65+,male,648289.0
1960,MKD,0-14,female,265064.0
1960,MKD,0-14,male,276600.0
1960,MKD,15-64,female,431830.0
1960,MKD,15-64,male,391071.0
1960,MKD,65+,female,39447.0
1960,MKD,65+,male,31046.0
1960,NOR,0-14,female,452206.0
1960,NOR,0-14,male,476245.0
1960,NOR,15-64,female,1127560.0
1960,NOR,15-64,male,1130255.0
1960,NOR,65+,female,217117.0
1960,NOR,65+,male,177856.0
1960,PAK,0-14,female,9198230.0
1960,PAK,0-14,male,9686765.0
1960,PAK,15-64,female,11413323.0
1960,PAK,15-64,male,14308409.0
1960,PAK,65+,female,449730.0
1960,PAK,65+,male,652853.0
1960,PAN,0-14,female,245324.0
1960,PAN,0-14,male,252526.0
1960,PAN,15-64,female,288617.0
1960,PAN,15-64,male,302451.0
1960,PAN,65+,female,18726.0
1960,PAN,65+,male,18360.0
1960,PNG,0-14,female,416166.0
1960,PNG,0-14,male,450029.0
1960,PNG,15-64,female,514622.0
1960,PNG,15-64,male,592076.0
1960,PNG,65+,female,9578.0
1960,PNG,65+,male,12638.0
1960,PRY,0-14,female,427122.0
1960,PRY,0-14,male,445148.0
1960,PRY,15-64,female,483508.0
1960,PRY,15-64,male,453982.0
1960,PRY,65+,female,41039.0
1960,PRY,65+,male,32715.0
1960,PER,0-14,female,2217942.0
1960,PER,0-14,male,2257578.0
1960,PER,15-64,female,2653003.0
1960,PER,15-64,male,2672500.0
1960,PER,65+,female,198420.0
1960,PER,65+,male,174683.0
1960,PHL,0-14,female,6549963.0
